Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m,ticker,Payout_Medio,PL_Medio_Subsetor,preco_teto_graham,margem_seguranca_graham,preco_teto_barsi,margem_seguranca_barsi,preco_alvo_pl_setor,margem_seguranca_pl_setor,score_wsm,score_wsm_penalidade
ON NM,GRUPO MATEUS ON NM,Comércio e Distribuição,Alimentos,6.31,2025-10-24,5.75,8.15,28702700,14187800000.0,15275600000.0,2025-06-30,2248470000.0,10.03,139.0,602.0,42.0,70.0,210.0,805.0,0.38,557.0,648.0,2.46,0.63,4.54,2.29,0.6900000000000001,0.42000000000000004,1.16,1.47,1.3800000000000001,234.0,21.0,168.0,20393500000,,,10217400000,,,1414300000,,,343597000,1027780000,11817600000,2115520000,1087740000,34175000000,2356080000,8779640000,594546000,GMAT3,0.3806,10.93,8.02,27.1,4.0,-36.61,6.89,9.19,10.242777871364522,2.2830363188096308
ON,GRENDENE SA ON,"Tecidos, Vestuário e Calçados",Calçados,5.25,2025-10-24,4.52,5.50,17206300,4736340000.0,3412920000.0,2025-06-30,902160000.0,5.84,118.0,1037.0,174.0,106.0,190.0,191.0,1.1099999999999999,640.0,747.0,0.29,0.9,4.46,4.74,1.67,2.9699999999999998,1.03,1.54,2.02,697.0,2.0,61.0,4456300000,,,4019470000,,,810837000,,,143575000,1409820000,2912340000,86407000,-1323420000,2728010000,456788000,555276000,4320010,GRND3,0.6475,15.23,9.5,80.95,9.67,84.19,13.71,161.14,37.260628444896646,33.15136916217176
ON,GUARARAPES CONFECÇÕES ON,Comércio,"Tecidos, Vestuário e Calçados",9.91,2025-10-24,5.59,10.20,10514700,4947070000.0,5719650000.0,2025-06-30,499200000.0,12.02,90.0,521.0,49.0,37.0,180.0,1167.0,0.12,346.0,603.0,1.0,0.82,11.07,5.99,0.93,0.4,0.7,0.85,0.74,148.0,36.0,75.0,13546400000,,,5527430000,,,411676000,,,143210000,1200090000,8442820000,1972670000,772574000,10166300000,949114000,2635360000,274499000,GUAR3,0.14502,10.59,14.29,44.2,2.0,-79.82,8.68,-12.41,6.645976690651195,-16.965584085380392
ON,Helbor ON,Construção Civil,Incorporações,3.57,2025-10-24,1.25,3.79,6489040,477848000.0,2007810000.0,2025-06-30,133851000.0,9.51,33.0,246.0,39.0,7.0,26.0,-103.0,0.27999999999999997,934.0,1032.0,0.77,0.38,10.92,3.3600000000000003,1.5699999999999998,1.25,0.3,0.32,0.33999999999999997,231.0,119.0,19.0,6462800000,,,1461370000,,,50236000,,,1645000,210416000,3179780000,1740380000,1529960000,1237270000,194476000,285556000,32202000,HBOR3,0.26305,9.18,9.66,170.59,1.67,-53.22,3.49,-2.24,17.179926918858392,-23.525851425155146
ON NM,HBR REALTY ON NM,Exploração de Imóveis,Exploração de Imóveis,4.42,2025-10-24,2.61,5.09,2306070,456095000.0,1911200000.0,2025-06-30,103189000.0,20.87,23.0,157.0,234.0,9.0,174.0,-26.0,0.0,644.0,657.0,2.3899999999999997,0.21,19.45,6.85,14.9,5.46,0.5599999999999999,0.58,0.11000000000000001,187.0,82.0,4.0,5204730000,,,2006510000,,,21857000,,,-33058000,190278000,563356000,1645380000,1455100000,195127000,290804000,63997000,21706000,HBRE3,0.0,13.35,9.59,116.97,,,2.8,-36.65,,
ON,HYPERA ON,Comércio e Distribuição,Medicamentos e Outros Produtos,23.67,2025-10-24,16.02,27.85,54591500,14993100000.0,22633400000.0,2025-06-30,633421000.0,20.19,125.0,1599.0,225.0,62.0,1277.0,-226.0,0.49000000000000005,1827.0,2414.0,0.8300000000000001,1.17,18.93,5.61,1.41,1.1,0.39,0.41,0.62,126.0,74.0,27.0,24237600000,,,11991900000,,,742678000,,,426689000,1203610000,5611930000,8843920000,7640310000,6661740000,937598000,2153940000,631251000,HYPE3,0.99131,23.49,22.32,-5.7,19.33,-18.34,27.48,16.1,,
UNT N1,IGUATEMI S.A UNT N1,Exploração de Imóveis,Exploração de Imóveis,24.41,2025-10-24,16.08,24.57,50805000,7243140000.0,9624960000.0,2025-06-30,2077100000.0,12.96,160.0,900.0,531.0,74.0,350.0,-306.0,0.16,1000.0,1196.0,1.6199999999999999,1.88,15.21,7.209999999999999,5.9,4.1,0.8300000000000001,1.01,1.24,367.0,91.0,14.0,9727390000,,,4514230000,,,558918000,,,209094000,1711020000,2844080000,4092840000,2381820000,1364410000,804895000,393982000,256199000,IGTI11,0.20774,13.35,25.36,3.89,6.5,-73.37,25.1,2.83,18.742708761999136,8.523043453531125
ON NM,INTELBRAS ON NM,Computadores e Equipamentos,Computadores e Equipamentos,11.83,2025-10-24,10.90,19.72,23797000,3875640000.0,4023350000.0,2025-06-30,327611000.0,8.52,126.0,812.0,82.0,74.0,162.0,239.0,0.41,686.0,843.0,1.3699999999999999,1.39,9.39,2.93,1.02,0.97,0.9199999999999999,1.28,1.48,279.0,32.0,90.0,5211770000,,,3076450000,,,454916000,,,136547000,837635000,3734050000,985348000,147713000,4699270000,477289000,1246450000,130537000,INTB3,0.34894,8.52,17.14,44.89,8.17,-30.94,11.84,0.08,4.879347826086956,1.5163043478260865
ON NM,IRBBRASIL RE ON NM,Previdência e Seguros,Seguradoras,48.39,2025-10-24,37.49,57.08,30917300,3960380000.0,,2025-06-30,81843000.0,6.43,76.0,489.0,67.0,25.0,,,0.0,,,22.4,7.52,63.63,0.06,1.3699999999999999,1.04,0.51,,1.1800000000000002,,,38.0,15788600000,,,5207670000,,,615477000,,,106562000,0,0,0,0,5923850000,810446000,1303450000,189151000,IRBR3,0.0,9.38,103.76,114.42,,,70.54,45.77,32.87463070744777,5.598346727373808
PN,ISA ENERGIA PN,Energia Elétrica,Energia Elétrica,24.53,2025-10-24,20.70,24.95,51951300,16162400000.0,28444200000.0,2025-06-30,658883000.0,4.98,78.0,388.0,198.0,37.0,294.0,-100.0,0.96,677.0,683.0,1.7100000000000002,4.93,31.27,3.9299999999999997,5.1,4.04,0.95,0.99,1.58,595.0,68.0,19.0,43946700000,,,20602000000,,,3247310000,,,215173000,1830260000,6605420000,14112100000,12281800000,8170740000,4163430000,1432870000,271597000,ISAE4,0.47766,13.4,58.9,140.11,39.17,59.68,66.06,169.3,,
ON N1,ITAÚSA ON N1,Intermediários Financeiros,Bancos,11.3,2025-10-24,7.99,11.57,1360930,124230000000.0,128341000000.0,2025-06-30,10993800000.0,8.0,139.0,39817.0,1492.0,109.0,1907.0,-1763.0,0.8699999999999999,8046.0,41135.0,0.1,1.41,8.15,2.5300000000000002,0.37,18.81,0.03,0.03,1.73,200.0,13.0,7.0,114124000000,,,89574000000,,,15521000000,,,4066000000,7323000000,13025000000,11434000000,4111000000,8328000000,312000000,2121000000,39000000,ITSA3,0.69723,10.2,16.08,42.3,16.33,44.51,14.38,27.26,9.43586956521739,9.398602254311713
PN N1,ITAÚSA PN N1,Intermediários Financeiros,Bancos,11.28,2025-10-24,7.78,11.47,224243000,124010000000.0,128121000000.0,2025-06-30,10993800000.0,7.99,138.0,39747.0,1489.0,109.0,1904.0,-1760.0,0.8699999999999999,8033.0,41065.0,0.1,1.41,8.15,2.5300000000000002,0.37,18.81,0.03,0.03,1.73,200.0,13.0,7.0,114124000000,,,89574000000,,,15521000000,,,4066000000,7323000000,13025000000,11434000000,4111000000,8328000000,312000000,2121000000,39000000,ITSA4,0.696,10.2,16.08,42.55,16.33,44.77,14.38,27.48,9.528637772822554,9.528637772822554
ON N1,ITAUUNIBANCO ON N1,Intermediários Financeiros,Bancos,33.97,2025-10-24,22.37,34.65,19522100,366351000000.0,,2025-06-30,10784500000.0,8.83,182.0,,,,,,0.77,,,9.24,3.85,18.62,,,0.0,0.0,,2.07,,,,479673000000,164704000000,97489000000,200814000000,8537000000,12573000000,41495000000,2928000000,3117000000,11375000000,,,,,,,,,ITUB3,0.6794,10.2,40.16,18.22,43.67,28.55,39.27,15.6,,
PN N1,ITAUUNIBANCO PN N1,Intermediários Financeiros,Bancos,38.03,2025-10-24,25.50,39.07,676115000,410136000000.0,,2025-06-30,10784500000.0,9.88,204.0,,,,,,0.6900000000000001,,,9.24,3.85,18.62,,,0.0,0.0,,2.07,,,,479673000000,164704000000,97489000000,200814000000,8537000000,12573000000,41495000000,2928000000,3117000000,11375000000,,,,,,,,,ITUB4,0.68158,10.2,40.16,5.6,43.67,14.83,39.27,3.26,,
ON,IGUATEMI S.A ON,Exploração de Imóveis,Exploração de Imóveis,29.02,2021-11-19,21.43,36.68,7666510,3395950000.0,5334030000.0,2021-09-30,117021000.0,20.27,193.0,1296.0,467.0,47.0,234.0,-168.0,0.03,1283.0,2035.0,0.1,1.43,15.06,5.279999999999999,3.6,4.63,0.36,0.45999999999999996,0.95,531.0,194.0,10.0,7251830000,,,1762140000,,,167568000,,,-62917000,1479620000,1785670000,3417690000,1938080000,727631000,262091000,209921000,82763000,JPSA3,0.06088,13.35,22.01,-24.16,1.5,-94.83,19.09,-34.22,4.290829431198952,-25.450072119763572
ON NM,JULIO SIMOES ON NM,Transporte,Transporte Rodoviário,5.41,2025-10-24,5.05,7.88,3599600,1549590000.0,8175090000.0,2025-06-30,286431000.0,12.93,85.0,147.0,16.0,13.0,69.0,-26.0,0.78,467.0,775.0,18.59,0.42,6.35,1.6300000000000001,1.1,0.13,0.86,1.0,0.6599999999999999,199.0,441.0,78.0,12229000000,,,1819290000,,,119835000,,,21400000,1393970000,4527230000,8019470000,6625500000,9545020000,1054620000,2381760000,258474000,JSLG3,1.00471,10.2,7.75,43.25,7.0,29.39,4.28,-20.89,12.499537386503455,-24.95289851882261
ON,KEPLER WEBER SA ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,7.52,2025-10-24,6.81,9.79,8776170,1351490000.0,1336980000.0,2025-06-30,179720000.0,9.01,185.0,626.0,86.0,89.0,271.0,644.0,0.95,526.0,619.0,1.15,0.83,4.06,2.68,1.3800000000000001,0.96,1.41,2.02,2.06,198.0,47.0,103.0,1526020000,,,728883000,,,149971000,,,14396000,358239000,1007160000,343720000,-14519000,1567450000,215820000,311073000,23224000,KEPL3,0.86072,9.01,8.71,15.82,11.83,57.31,7.48,-0.53,7.948913043478261,7.948913043478261
UNT N2,KLABIN UNT N2,Madeira e Papel,Papel e Celulose,17.96,2025-10-24,17.30,23.05,97873800,22197400000.0,50082800000.0,2025-06-30,6179680000.0,10.62,218.0,450.0,109.0,37.0,278.0,-70.0,0.6,528.0,1015.0,0.78,1.69,8.25,3.8600000000000003,2.42,1.1300000000000001,0.82,1.02,2.05,211.0,353.0,34.0,60335200000,,,10192500000,,,2089590000,,,572066000,8082750000,15144900000,35968200000,27885400000,20372700000,4936440000,5247200000,1367260000,KLBN11,0.63763,9.83,17.71,-1.39,18.0,0.22,16.61,-7.52,11.271231275757893,11.120144319236154
ON N2,KLABIN ON N2,Madeira e Papel,Papel e Celulose,3.61,2025-10-24,3.49,4.84,2303500,22308700000.0,50194100000.0,2025-06-30,6179680000.0,10.68,219.0,452.0,110.0,37.0,280.0,-70.0,0.6,529.0,1017.0,0.78,0.34,1.65,3.8600000000000003,2.42,1.1300000000000001,0.82,1.02,2.05,211.0,353.0,34.0,60335200000,,,10192500000,,,2089590000,,,572066000,8082750000,15144900000,35968200000,27885400000,20372700000,4936440000,5247200000,1367260000,KLBN3,0.63706,9.83,3.55,-1.66,3.67,1.66,3.34,-7.48,0.18043478260869777,-5.595602202934365
PN N2,KLABIN PN N2,Madeira e Papel,Papel e Celulose,3.61,2025-10-24,3.44,4.55,11022000,22308700000.0,50194100000.0,2025-06-30,6179680000.0,10.68,219.0,452.0,110.0,37.0,280.0,-70.0,0.6,529.0,1017.0,0.78,0.34,1.65,3.8600000000000003,2.42,1.1300000000000001,0.82,1.02,2.05,211.0,353.0,34.0,60335200000,,,10192500000,,,2089590000,,,572066000,8082750000,15144900000,35968200000,27885400000,20372700000,4936440000,5247200000,1367260000,KLBN4,0.63706,9.83,3.55,-1.66,3.67,1.66,3.34,-7.48,0.18043478260869777,-5.595602202934365
ON NM,LAVVI ON NM,Construção Civil,Incorporações,14.23,2025-10-24,6.60,15.47,8659700,2781030000.0,2839270000.0,2025-06-30,195434000.0,6.75,178.0,677.0,156.0,73.0,133.0,339.0,0.77,689.0,691.0,3.21,2.11,8.0,3.4899999999999998,2.3,2.66,1.0699999999999998,1.3800000000000001,2.6399999999999997,384.0,54.0,47.0,3827980000,,,1563360000,,,412007000,,,118591000,790791000,2833340000,849037000,58246000,1785470000,411004000,481894000,114850000,LAVV3,0.51929,9.18,19.49,36.96,18.33,28.81,19.37,36.12,28.453612152738188,25.903423848725016
ON,MAHLE METAL LEVE ON,Automóveis e Motocicletas,Automóveis e Motocicletas,28.36,2025-10-24,24.55,32.77,7486360,3843890000.0,5024960000.0,2025-06-30,135539000.0,7.15,520.0,461.0,75.0,103.0,669.0,-552.0,0.93,527.0,602.0,1.1199999999999999,3.97,5.45,2.7,1.6300000000000001,1.05,2.2399999999999998,3.1399999999999997,7.279999999999999,133.0,188.0,137.0,3732400000,,,739079000,,,537776000,,,126743000,208873000,2295130000,1389950000,1181070000,5104230000,834511000,1369160000,223082000,LEVE3,0.66435,6.82,22.06,-22.21,44.0,55.15,27.08,-4.51,21.425740262031724,15.02640431134371
ON NM,LOG COM PROP ON NM,Exploração de Imóveis,Exploração de Imóveis,23.0,2025-10-24,16.17,23.81,6524060,2020760000.0,4111000000.0,2025-06-30,87859000.0,5.47,54.0,1222.0,881.0,28.0,324.0,-107.0,0.95,2389.0,2486.0,1.1300000000000001,4.21,42.57,9.77,7.209999999999999,16.16,0.22999999999999998,0.24,0.99,170.0,63.0,3.0,7166960000,,,3740220000,,,369632000,,,86958000,280694000,1512560000,2370930000,2090240000,229293000,165364000,61466000,44422000,LOGG3,0.519,13.35,63.5,176.09,36.33,57.96,56.2,144.35,,
ON,RENNER ON,Comércio,"Tecidos, Vestuário e Calçados",14.8,2025-10-24,10.45,19.27,226585000,15685600000.0,14485400000.0,2025-06-30,1059840000.0,11.47,152.0,457.0,102.0,84.0,335.0,613.0,0.53,307.0,422.0,1.24,1.29,9.72,6.12,2.2199999999999998,0.89,1.83,2.2,1.33,174.0,6.0,82.0,18735300000,,,10300500000,,,1367960000,,,404496000,1790790000,10994600000,590597000,-1200190000,15432900000,3433590000,4167570000,1011030000,LREN3,0.60806,10.59,16.8,13.51,13.0,-12.16,13.66,-7.7,,
ON NM,LOCAWEB ON NM,Programas e Serviços,Programas e Serviços,4.02,2025-10-24,2.55,4.61,15180200,2275320000.0,2011550000.0,2025-06-30,565999000.0,75.8,83.0,1652.0,159.0,59.0,1046.0,2504.0,0.31,733.0,1460.0,2.2199999999999998,0.05,4.87,4.76,0.96,0.21000000000000002,0.36,0.4,0.11000000000000001,123.0,3.0,37.0,3831460000,,,2754100000,,,30018000,,,15808000,345238000,1168230000,81473000,-263765000,1433130000,137748000,370776000,38201000,LWSA3,2.4924,31.79,2.34,-41.79,2.0,-50.25,1.59,-60.45,8.62267053416152,-60.22995025601822
ON NM,MATER DEI ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,4.22,2025-10-24,3.42,4.95,1013340,1407580000.0,2157350000.0,2025-06-30,333549000.0,10.84,97.0,431.0,67.0,32.0,139.0,-104.0,0.18,496.0,661.0,1.65,0.39,4.35,2.91,1.55,0.65,0.75,0.9099999999999999,0.89,309.0,96.0,48.0,4338670000,,,1451790000,,,129810000,,,26235000,638213000,1499520000,1387990000,749777000,2102980000,326621000,545807000,96569000,MATD3,0.19477,21.92,6.18,46.45,1.33,-68.48,8.55,102.61,12.9399310687791,-25.73942088241357
ON NM,M.DIASBRANCO ON NM,Alimentos Processados,Alimentos Diversos,29.48,2025-10-24,18.79,29.59,16348900,9993720000.0,9710830000.0,2025-06-30,339000000.0,17.03,123.0,1115.0,102.0,79.0,296.0,742.0,0.24,754.0,1084.0,0.82,1.73,24.01,3.28,0.9099999999999999,0.6,0.71,0.96,0.72,233.0,23.0,77.0,12704200000,,,8140170000,,,586880000,,,216382000,2154430000,5910530000,1871540000,-282887000,9824750000,896029000,2723400000,294207000,MDIA3,0.40897,16.16,30.57,3.7,11.83,-59.87,27.96,-5.16,5.29049979237815,-1.7494073397133274
ON NM,MOURA DUBEUX ON NM,Construção Civil,Incorporações,26.79,2025-10-24,9.90,29.93,18971200,2274710000.0,2456410000.0,2025-06-30,84909000.0,7.0,135.0,622.0,115.0,50.0,163.0,-398.0,0.45999999999999996,650.0,672.0,3.08,3.83,19.91,3.3,1.85,1.65,0.8,0.9099999999999999,1.92,254.0,29.0,43.0,4576480000,,,1690840000,,,324960000,,,120552000,316610000,2307960000,498306000,181696000,1973360000,365588000,664934000,135379000,MDNE3,0.32176,9.18,41.42,54.61,20.5,-23.48,35.16,31.24,15.961082546107773,10.18726080682043
ON NM,MAGAZ LUIZA ON NM,Comércio,Eletrodomésticos,8.08,2025-10-24,5.64,11.45,241666000,5971080000.0,10065000000.0,2025-06-30,738995000.0,15.49,54.0,331.0,16.0,16.0,139.0,-90.0,0.38,321.0,557.0,0.2,0.52,15.0,3.07,0.47000000000000003,0.1,0.49000000000000005,0.71,0.35,129.0,56.0,104.0,36913600000,,,11085100000,,,385596000,,,-24356000,2113620000,19219400000,6207500000,4093880000,38312500000,1805940000,9134670000,425520000,MGLU3,0.59046,15.49,13.25,63.99,5.17,-36.01,8.05,-0.37,6.955434782608697,3.0413043478260877
ON NM,MILLS ON NM,Diversos,Aluguel de carros,12.5,2025-10-24,8.00,12.70,11835300,2927230000.0,4169200000.0,2025-06-30,234178000.0,9.71,191.0,487.0,171.0,77.0,437.0,-285.0,0.41,491.0,694.0,2.9,1.29,6.54,6.32,3.5,1.7600000000000002,1.59,1.94,1.97,221.0,115.0,45.0,3784200000,,,1530490000,,,301398000,,,87232000,519216000,1224850000,1761190000,1241970000,1714530000,600879000,450060000,160753000,MILS3,0.39729,16.81,13.78,10.24,8.5,-32.0,21.68,73.44,28.75249570744419,20.304596326657094
ON,MOTIVA SA ON,Transporte,Exploração de Rodovias,15.35,2025-10-24,9.81,15.35,113942000,31007000000.0,63293700000.0,2025-06-30,2020000000.0,14.89,211.0,524.0,147.0,48.0,641.0,-79.0,0.32,832.0,1069.0,1.46,1.03,7.28,3.8299999999999996,2.81,1.01,0.9199999999999999,1.04,1.42,188.0,265.0,33.0,64512000000,,,14702500000,,,2082160000,,,897243000,6678890000,10346800000,38965600000,32286700000,21060700000,5922530000,4662280000,1541920000,MOTV3,0.47689,13.74,12.99,-15.37,8.17,-46.78,14.15,-7.82,0.45989640601543835,-9.344879732693801
ON NM,MOVIDA ON NM,Diversos,Aluguel de carros,7.91,2025-10-24,3.33,9.30,29929600,2752130000.0,18800600000.0,2025-06-30,347931000.0,9.61,104.0,86.0,19.0,9.0,-124.0,-14.0,0.22999999999999998,344.0,588.0,3.4299999999999997,0.82,7.61,3.09,2.2399999999999998,0.2,1.0699999999999998,1.46,1.08,77.0,736.0,48.0,29775600000,,,2648980000,,,286460000,,,67596000,3439080000,7615070000,19487600000,16048500000,14271300000,3196330000,3679000000,841175000,MOVI3,0.22187,16.81,11.85,49.81,3.0,-62.07,13.78,74.21,,
ON NM,MITRE REALTY ON NM,Construção Civil,Incorporações,3.6,2025-10-24,2.49,4.11,2227570,380790000.0,865505000.0,2025-06-30,105775000.0,6.63,38.0,400.0,33.0,16.0,35.0,61.0,1.42,706.0,910.0,2.2,0.54,9.38,2.52,0.8300000000000001,0.7,0.41,0.45999999999999996,0.58,235.0,67.0,49.0,2310160000,,,992548000,,,57428000,,,10393000,182609000,1889250000,667324000,484715000,1140400000,95092000,256864000,20186000,MTRE3,0.94667,9.18,10.68,196.67,8.5,136.11,4.96,37.78,,
ON N2,Multiplan ON N2,Exploração de Imóveis,Exploração de Imóveis,27.69,2025-10-24,19.54,29.08,93699300,14209500000.0,18591700000.0,2025-06-30,513164000.0,11.01,241.0,748.0,526.0,115.0,3337.0,-310.0,0.49000000000000005,910.0,979.0,2.46,2.51,11.51,8.11,7.029999999999999,4.779999999999999,1.54,1.67,2.19,131.0,87.0,22.0,12311300000,,,5905050000,,,1290460000,,,264367000,742293000,1816950000,5124440000,4382140000,2701190000,1899640000,694056000,438517000,MULT3,0.54056,13.35,25.5,-7.91,22.67,-18.13,33.51,21.02,,
ON,IOCHPE-MAXION ON,Automóveis e Motocicletas,Automóveis e Motocicletas,10.85,2025-10-24,9.56,14.25,14096000,1667860000.0,5584590000.0,2025-06-30,153720000.0,6.06,39.0,160.0,10.0,11.0,60.0,-52.0,0.45999999999999996,352.0,537.0,0.55,1.79,28.09,1.22,0.65,0.22999999999999998,0.7,0.96,0.64,168.0,130.0,107.0,14920100000,,,4317770000,,,275251000,,,86822000,1678690000,6926160000,5595420000,3916730000,15936500000,1040060000,4106970000,290597000,MYPK3,0.27883,6.82,33.64,210.05,8.33,-23.23,12.21,12.53,20.05420399434718,-18.03477586148176
ON,NATURA COSMETICOS SA ON,,,8.74,2025-10-24,8.13,10.51,120578000,12013600000.0,12180500000.0,2025-06-30,1374560000.0,17.87,127.0,407.0,53.0,60.0,175.0,408.0,0.0,333.0,413.0,0.01,0.49,6.88,6.67,1.31,0.3,1.47,2.25,0.71,203.0,26.0,112.0,20092300000,,,9460150000,,,672396000,,,365298000,2266770000,13576900000,2433650000,166879000,22561000000,2951800000,5599330000,763871000,NATU3,0.0,,8.71,-0.34,,,,,,
ON NM,NEOENERGIA ON NM,Energia Elétrica,Energia Elétrica,28.39,2025-10-24,17.64,29.20,49868700,34459700000.0,79445700000.0,2025-06-30,1213800000.0,7.97,98.0,314.0,68.0,31.0,1129.0,-64.0,0.29,570.0,724.0,0.63,3.56,29.02,2.67,2.15,0.85,0.99,1.09,1.23,117.0,144.0,46.0,110816000000,,,35221000000,,,4325000000,,,1631000000,5709000000,21358000000,50695000000,44986000000,51028000000,10971000000,12856000000,2554000000,NEOE3,0.23127,13.4,48.21,69.81,13.67,-51.85,47.7,68.02,23.609273769015815,12.11033812507193
ON NM,ODONTOPREV ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,13.04,2025-10-24,9.48,13.51,18299600,7117560000.0,6743660000.0,2025-06-30,545825000.0,12.27,551.0,956.0,303.0,336.0,-3660.0,-2208.0,0.76,842.0,906.0,0.74,1.06,2.37,3.72,3.17,2.4699999999999998,3.5200000000000005,4.39,4.49,72.0,,111.0,2118060000,,,1291700000,,,579924000,,,147828000,373902000,503735000,0,-373902000,2347890000,744530000,603695000,190787000,ODPV3,0.93494,21.92,7.52,-42.33,16.5,26.53,23.24,78.22,33.92081075503571,22.38556313037446
ON NM,ORIZON ON NM,Água e Saneamento,Água e Saneamento,55.45,2025-10-24,36.22,57.86,23089500,5330230000.0,6299690000.0,2025-06-30,96126900.0,120.94,380.0,1991.0,542.0,132.0,676.0,-454.0,0.0,1407.0,2354.0,2.68,0.46,14.59,4.55,2.7199999999999998,0.5700000000000001,0.6599999999999999,0.9099999999999999,0.31,236.0,136.0,24.0,4045500000,,,1402850000,,,44072000,,,23846000,932773000,1366940000,1902230000,969454000,984261000,267660000,264181000,78803000,ORVR3,0.0,10.2,12.29,-77.84,,,4.69,-91.54,,
ON,PETROBRAS ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",31.75,2025-10-24,30.41,39.79,331948000,409217000000.0,728807000000.0,2025-06-30,12888700000.0,5.29,103.0,199.0,83.0,35.0,-945.0,-64.0,1.64,261.0,355.0,0.62,6.0,30.97,4.91,4.17,1.58,1.75,1.89,1.94,76.0,93.0,42.0,1174890000000,,,399222000000,,,77372000000,,,26652000000,51847000000,135859000000,371437000000,319590000000,493122000000,205467000000,119128000000,46769000000,PETR3,0.86783,5.12,64.66,103.65,86.83,173.48,30.72,-3.24,21.80817495868038,21.122058285048965
PN,PETROBRAS PN,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",29.84,2025-10-24,28.30,35.88,863421000,384600000000.0,704190000000.0,2025-06-30,12888700000.0,4.97,96.0,187.0,78.0,33.0,-888.0,-60.0,1.7399999999999998,252.0,343.0,0.62,6.0,30.97,4.91,4.17,1.58,1.75,1.89,1.94,76.0,93.0,42.0,1174890000000,,,399222000000,,,77372000000,,,26652000000,51847000000,135859000000,371437000000,319590000000,493122000000,205467000000,119128000000,46769000000,PETR4,0.86536,5.12,64.66,116.69,86.5,189.88,30.72,2.95,22.528552302579733,22.51804251018214
ON NM,PROFARMA ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,7.13,2025-10-24,5.67,9.03,1607650,882787000.0,1727060000.0,2025-06-30,123813000.0,7.48,66.0,277.0,8.0,16.0,103.0,-7946.0,0.8099999999999999,343.0,543.0,1.6300000000000001,0.95,10.79,1.48,0.29,0.11000000000000001,0.5900000000000001,0.9400000000000001,0.8800000000000001,130.0,82.0,205.0,5370610000,,,1336390000,,,118009000,,,21769000,246566000,3738630000,1090840000,844274000,11032600000,318292000,2701970000,97775000,PFRM3,0.60793,23.49,15.19,113.04,9.67,35.62,22.32,213.04,32.35167371199606,26.41473914028061
ON NM,PAGUE MENOS ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,3.87,2025-10-24,2.63,3.98,8519040,2564540000.0,4021410000.0,2025-06-30,662673000.0,15.78,92.0,377.0,19.0,28.0,141.0,-187.0,0.5599999999999999,335.0,591.0,1.81,0.25,4.19,3.19,0.5,0.12,0.75,1.01,0.5900000000000001,158.0,61.0,150.0,9115560000,,,2778330000,,,162563000,,,50233000,243778000,4959880000,1700640000,1456860000,13684600000,680548000,3693370000,225933000,PGMN3,0.86688,23.49,4.85,25.32,3.67,-5.17,5.87,51.68,7.0156438659374585,-4.460222460212695
PN,Pine PN,Intermediários Financeiros,Bancos,8.96,2025-10-24,3.72,9.00,2694230,2035050000.0,,2025-06-30,227126000.0,7.07,175.0,,,,,,0.72,,,5.76,1.27,5.13,,,0.0,0.0,,2.4699999999999998,,,,30050200000,0,0,1165010000,670134000,27249000,287908000,211683000,8700000,83020000,,,,,,,,,PINE4,0.50797,10.2,12.11,35.16,10.83,20.87,12.95,44.53,,
ON NM,PLANOEPLANO ON NM,Construção Civil,Incorporações,15.1,2025-10-24,7.84,18.00,16313500,3078910000.0,3262940000.0,2025-06-30,203901000.0,8.61,338.0,414.0,111.0,101.0,164.0,616.0,0.67,427.0,439.0,2.7,1.75,4.47,3.3200000000000003,2.67,1.51,2.44,3.4299999999999997,3.9200000000000004,374.0,81.0,91.0,3049800000,,,911158000,,,357510000,,,83539000,553766000,2561500000,737803000,184037000,2783420000,743053000,783815000,143609000,PLPL3,0.57811,9.18,13.27,-12.12,16.83,11.46,16.06,6.36,,
