Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m,ticker,Payout_Medio,PL_Medio_Subsetor
ON NM,BOA SAFRA ON NM,Agropecuária,Agricultura,10.08,2025-10-24,9.56,13.16,4001600,1364050000.0,1652300000.0,2025-06-30,135322000.0,13.47,101.0,875.0,70.0,38.0,79.0,151.0,0.15,777.0,1060.0,3.35,0.75,10.0,1.34,0.8,0.89,0.43,0.58,0.75,321.0,63.0,54.0,3586820000,,,1353140000,,,101279000,,,5628000,564911000,2521790000,853164000,288253000,1940720000,155856000,125124000,18263000,SOJA3,0.2016,10.0
ON NM,SERENA ON NM,Energia Elétrica,Energia Elétrica,12.52,2025-10-24,5.28,12.52,55474000,7796590000.0,18371800000.0,2025-06-30,622731000.0,107.22,145.0,607.0,147.0,39.0,4825.0,-68.0,0.0,878.0,1429.0,5.67,0.12,8.64,2.84,2.43,0.13999999999999999,0.64,0.6900000000000001,0.13999999999999999,106.0,215.0,26.0,20046300000,,,5382920000,,,72713000,,,-36099000,1008830000,3074960000,11584000000,10575200000,5293960000,1285290000,1461700000,267704000,SRNA3,0.0,13.4
ON NM,SBPAR ON NM,Transporte,Serviços de Apoio e Armazenagem,14.42,2025-10-02,12.30,14.46,63075400,12461300000.0,14574000000.0,2025-06-30,864170000.0,15.3,1555.0,850.0,375.0,226.0,7640.0,-344.0,0.35,836.0,994.0,2.7600000000000002,0.94,0.93,5.71,4.41,2.45,2.66,3.05,10.16,118.0,335.0,60.0,5519520000,,,801593000,,,814288000,,,193376000,571787000,1091880000,2684460000,2112670000,3319560000,1465550000,880911000,372910000,STBP3,0.53691,13.91
ON,Suzano Papel ON,Madeira e Papel,Papel e Celulose,49.1,2025-10-24,47.48,64.87,228554000,62068200000.0,133324000000.0,2025-06-30,1264120000.0,7.94,144.0,467.0,121.0,39.0,227.0,-81.0,0.41,561.0,1003.0,0.76,6.19,34.12,3.7700000000000005,2.59,1.53,0.8300000000000001,1.0,1.81,316.0,212.0,32.0,159423000000,,,43137800000,,,7821420000,,,5004700000,20371400000,39909100000,91627200000,71255700000,51299400000,13295300000,13295900000,3202060000,SUZB3,0.32522,9.83
UNT,TAESA UNT,Energia Elétrica,Energia Elétrica,36.97,2025-10-24,29.93,36.97,58318900,12736100000.0,22148000000.0,2025-06-30,1033500000.0,7.11,167.0,535.0,295.0,59.0,2080.0,-119.0,0.8,917.0,930.0,0.29,5.2,22.1,6.18,5.51,4.15,1.1099999999999999,1.17,2.35,124.0,135.0,20.0,21504900000,,,7612370000,,,1791930000,,,510019000,896883000,3198270000,10308700000,9411830000,4320430000,2382110000,1261830000,653817000,TAEE11,0.56877,13.4
PN N2,TAESA PN N2,Energia Elétrica,Energia Elétrica,12.39,2025-10-24,10.14,12.39,1470370,12805000000.0,22216900000.0,2025-06-30,1033500000.0,7.15,168.0,538.0,296.0,60.0,2091.0,-120.0,0.8,920.0,933.0,0.29,1.73,7.37,6.18,5.51,4.15,1.1099999999999999,1.17,2.35,124.0,135.0,20.0,21504900000,,,7612370000,,,1791930000,,,510019000,896883000,3198270000,10308700000,9411830000,4320430000,2382110000,1261830000,653817000,TAEE4,0.57295,13.4
ON NM,Tenda ON NM,Construção Civil,Incorporações,23.15,2025-10-24,11.73,27.20,42143400,2837680000.0,3267150000.0,2025-06-30,122578000.0,7.34,241.0,573.0,78.0,49.0,153.0,-283.0,0.25,579.0,660.0,0.89,3.16,9.62,2.94,1.3699999999999999,1.04,0.85,1.04,3.28,203.0,101.0,62.0,5850580000,,,1179660000,,,386846000,,,203861000,761207000,3647390000,1190670000,429466000,3619360000,495067000,991483000,130399000,TEND3,0.18315,9.18
PN,TRACK FIELD PN,"Tecidos, Vestuário e Calçados",Vestuário,18.12,2025-10-24,8.32,18.12,10924500,2776310000.0,2898960000.0,2025-06-30,153218000.0,20.73,543.0,1465.0,298.0,337.0,719.0,1101.0,0.15,1396.0,1530.0,2.63,0.87,3.33,5.75,2.0300000000000002,1.44,2.3,2.6100000000000003,2.62,318.0,29.0,113.0,822781000,,,510935000,,,133898000,,,33984000,23674000,562662000,146322000,122648000,932503000,189524000,242091000,49477000,TFCO4,0.31241,20.73
ON NM,Tegma ON NM,Transporte,Transporte Rodoviário,35.68,2025-10-24,26.30,37.71,7104510,2354990000.0,2204900000.0,2025-06-30,66003000.0,8.41,237.0,654.0,107.0,169.0,468.0,677.0,0.76,567.0,612.0,2.12,4.24,15.05,2.16,1.6300000000000001,1.27,2.58,3.6100000000000003,2.82,303.0,20.0,158.0,1397080000,,,993359000,,,280135000,,,67119000,347151000,751456000,197063000,-150088000,2209010000,360231000,540540000,78996000,TGMA3,0.63955,10.2
ON NM,TOTVS ON NM,Programas e Serviços,Programas e Serviços,42.34,2025-10-24,25.88,46.02,113250000,25378700000.0,24977100000.0,2025-06-30,599402000.0,29.53,518.0,1200.0,451.0,283.0,1390.0,-4391.0,0.16,1016.0,1181.0,1.7899999999999998,1.43,8.17,6.99,3.7600000000000002,1.56,2.3600000000000003,3.18,1.75,236.0,35.0,63.0,8962550000,,,4897170000,,,859357000,,,188718000,2094240000,3169360000,1692700000,-401540000,5631210000,2115390000,1488070000,546209000,TOTS3,0.47373,31.79
ON NM,Trisul ON NM,Construção Civil,Incorporações,7.44,2025-10-24,4.04,7.99,3257730,1388440000.0,1786690000.0,2025-06-30,186618000.0,6.95,90.0,707.0,108.0,42.0,75.0,123.0,0.4,803.0,910.0,1.2,1.07,8.23,3.09,1.52,1.59,0.6,0.74,1.3,281.0,63.0,39.0,3292030000,,,1535000000,,,199919000,,,48029000,567173000,2862340000,965427000,398254000,1291090000,196430000,293667000,38263000,TRIS3,0.27813,9.18
ON NM,3TENTOS ON NM,Agropecuária,Agricultura,14.51,2025-10-24,11.04,16.90,13612800,7247710000.0,9465260000.0,2025-06-30,499498000.0,7.4,162.0,651.0,50.0,63.0,245.0,1249.0,0.13,776.0,851.0,3.38,1.96,8.98,1.77,0.77,0.6799999999999999,0.96,1.53,2.18,163.0,91.0,124.0,11584400000,,,4484860000,,,978809000,,,331555000,1846790000,7670250000,4064340000,2217550000,14412100000,1112490000,3562880000,309358000,TTEN3,0.09624,10.0
ON,ULTRAPAR PARTICIPAÇÕES SA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",21.18,2025-10-24,14.82,21.97,146413000,23633700000.0,38586200000.0,2025-06-30,1115850000.0,8.11,147.0,446.0,17.0,52.0,312.0,-228.0,0.35,584.0,729.0,0.77,2.61,14.4,0.71,0.38,0.22000000000000003,1.16,1.3699999999999999,1.81,182.0,118.0,303.0,45608200000,,,16073700000,,,2914560000,,,1088360000,3985520000,16857100000,18938000000,14952500000,138143000000,5295010000,34055000000,959800000,UGPA3,0.28402,5.12
ON NM,VAMOS ON NM,Diversos,Aluguel de carros,3.34,2025-10-24,2.90,5.92,52713300,3610650000.0,16027100000.0,2025-06-30,1081030000.0,14.01,139.0,132.0,94.0,16.0,139.0,-26.0,0.82,445.0,588.0,1.95,0.24,2.41,7.37,7.109999999999999,0.67,1.21,1.54,0.99,180.0,633.0,17.0,22443400000,,,2604220000,,,257706000,,,92765000,4067930000,5867400000,16484400000,12416500000,3833630000,2725130000,1411670000,675129000,VAMO3,1.14117,16.81
ON,VIBRA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",24.1,2025-10-24,15.54,24.95,245812000,26967900000.0,48035900000.0,2025-06-30,1119000000.0,4.79,129.0,641.0,15.0,45.0,215.0,-185.0,0.45,963.0,1142.0,1.3,5.03,18.63,0.45999999999999996,0.22999999999999998,0.31,0.7,0.8,2.7,209.0,122.0,303.0,59651000000,,,20849000000,,,5627000000,,,301000000,4351000000,24050000000,25419000000,21068000000,180968000000,4205000000,45545000000,786000000,VBBR3,0.21561,5.12
