Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m,Papel,Payout_Medio,Empresa_Base,PL_Medio_Subsetor
ON NM,PRINER ON NM,Serviços Diversos,Serviços Diversos,15.33,2025-10-24,12.80,17.84,6937990,869533000,1231770000.0,2025-06-30,56721000,79.15,256,773.0,62.0,61.0,209.0,-330.0,0.3,699.0,1095.0,42.9,0.19,6.0,22.0,8.0,2.3,7.9,11.0,3.2,206.0,215.0,99.0,1429340000,,,340311000,,,10986000,,,-2092000,367896000,806837000,730136000,362240000,1409630000,112454000,361894000,21538000,PRNR3,24.21,PRNR,35.03
ON,PORTO SEGURO SA ON,Previdência e Seguros,Seguradoras,47.08,2025-10-24,33.38,56.14,115488000,30441300000,20487500000.0,2025-06-30,646586000,9.76,210,100.0,82.0,60.0,950.0,-365.0,4.0,66.0,67.0,17.8,4.83,22.4,100.0,81.7,8.5,59.9,74.4,21.5,113.0,,73.0,50945000000,,,14482200000,,,3120170000,,,878054000,9953740000,28063300000,0,-9953740000,37343700000,30516200000,10047800000,8256430000,PSSA3,38.99,PSSA,8.09
ON,RAIADROGASIL ON,Comércio e Distribuição,Medicamentos e Outros Produtos,19.58,2025-10-24,13.31,25.59,182114000,33638600000,36729700000.0,2025-06-30,1718010000,27.5,504,1425.0,82.0,146.0,890.0,-1089.0,1.8,864.0,1555.0,16.8,0.71,3.88,29.4,5.8,3.0,10.2,14.1,18.3,140.0,55.0,178.0,23052500000,,,6671830000,,,1223390000,,,374004000,605299000,13277600000,3696400000,3091110000,40965900000,2361330000,10831000000,719385000,RADL3,49.64,RADL,15.19
ON NM,RUMO S.A. ON NM,Transporte,Transporte Ferroviário,15.38,2025-10-24,14.11,19.91,229072000,28588800000,43729300000.0,2025-06-30,1858830000,44.32,213,503.0,206.0,57.0,843.0,-102.0,5.3,475.0,769.0,17.5,0.35,7.21,46.2,40.9,4.8,11.2,13.0,4.8,162.0,158.0,27.0,50595300000,,,13404700000,,,645049000,,,328816000,6091530000,8862410000,21232100000,15140500000,13893800000,5685900000,3711390000,1643230000,RAIL3,232.9,RAIL,44.32
ON,IRANI ON,Madeira e Papel,Papel e Celulose,8.48,2025-10-24,5.89,8.91,5792880,1954650000,3109630000.0,2025-06-30,230501000,5.05,137,441.0,116.0,52.0,233.0,-177.0,9.0,480.0,702.0,4.4,1.68,6.17,41.6,26.3,22.9,11.8,14.8,27.2,308.0,125.0,45.0,3768110000,,,1422130000,,,386757000,,,104247000,627105000,1243760000,1782090000,1154980000,1687260000,443057000,413774000,155935000,RANI3,45.43,RANI,8.57
PN N1,RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES PN N1,Material de Transporte,Material Rodoviário,5.98,2025-10-24,5.24,10.89,19812800,2091360000,9331030000.0,2025-06-30,349725000,10.61,068,164.0,16.0,12.0,45.0,-52.0,4.0,549.0,732.0,12.8,0.56,8.74,25.8,9.9,3.4,7.3,8.8,6.4,204.0,293.0,74.0,17465400000,,,3056780000,,,197091000,,,-34929000,1725990000,9104660000,8965670000,7239680000,12883100000,1275450000,3298380000,242585000,RAPT4,42.71,RAPT,12.47
ON NM,REDE D OR ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,42.26,2025-10-24,24.78,42.30,173213000,96745500000,94184700000.0,2025-06-30,2289290000,23.52,381,1152.0,183.0,92.0,269.0,-421.0,1.9,927.0,1122.0,34.5,1.8,11.08,19.8,15.9,8.0,7.9,13.2,16.2,289.0,150.0,50.0,105710000000,,,25362500000,,,4112780000,,,1001590000,40546500000,54856900000,37985700000,-2560790000,52806000000,8394630000,13960800000,2377790000,RDOR3,44.61,RDOR,12.05
ON NM,PETRORECONCA ON NM,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",12.48,2025-10-24,11.81,16.34,27937000,3662530000,4835380000.0,2025-06-30,293472000,5.58,083,393.0,109.0,51.0,587.0,-225.0,17.6,293.0,519.0,18.1,2.24,15.12,34.9,27.7,19.5,12.9,15.0,14.8,222.0,41.0,47.0,7201850000,,,4438630000,,,656952000,,,238139000,651548000,1135280000,1824400000,1172850000,3360620000,930918000,806302000,186737000,RECV3,98.06,RECV,4.58
ON,LOCALIZA RENT A CAR ON,Diversos,Aluguel de carros,38.75,2025-10-24,26.71,44.03,283721000,41951600000,75271800000.0,2025-06-30,1082620000,18.04,165,515.0,106.0,52.0,969.0,-109.0,4.9,567.0,924.0,42.8,2.15,23.54,28.5,20.6,5.9,10.0,12.3,9.1,133.0,163.0,49.0,81318700000,,,25487200000,,,2325430000,,,-167098000,8249250000,17427500000,41569500000,33320300000,39575500000,8150560000,9900110000,2020420000,RENT3,88.31,RENT,13.51
UNT N2,SANEPAR UNT N2,Água e Saneamento,Água e Saneamento,34.45,2025-10-24,24.38,37.82,41897200,10412200000,15714000000.0,2025-06-30,1511210000,4.6,088,534.0,149.0,42.0,2010.0,-102.0,6.4,618.0,806.0,9.5,7.48,38.99,56.6,27.9,32.3,7.8,8.4,19.2,121.0,57.0,28.0,24914500000,,,11784300000,,,2262240000,,,263848000,1396320000,2970920000,6698070000,5301750000,6996560000,1949230000,1705370000,567981000,SAPR11,29.48,SAPR1,6.97
